ika;riski
34;27.6
35;28.298953905249675
36;29.122584720443875
37;30.070892445582587
38;31.14387708066581
39;32.34153862569356
40;33.66387708066581
41;35.110892445582586
42;36.68258472044387
43;38.37895390524968
44;40.2
45;42.14572300469483
46;44.21612291933418
47;46.41119974391805
48;48.73095347844644
49;51.17538412291933
50;53.61378403755869
51;55.91544558258642
52;58.080368758002564
53;60.108553563807085
54;62.0
55;63.754708066581316
56;65.37267776355101
57;66.85390909090908
58;68.19840204865557
59;69.40615663679044
60;70.51341869398206
61;71.55643405889886
62;72.53520273154076
63;73.44972471190782
64;74.3
65;75.08602859581734
66;75.80781049935982
67;76.46534571062742
68;77.05863422962014
69;77.58767605633803
70;78.05770379854889
71;78.4739500640205
72;78.83641485275288
73;79.14509816474606
74;79.4
75;79.60112035851473
76;79.74845924029023
77;79.84201664532651
78;79.88179257362356
79;79.8677870251814
80;79.8
