piste;riski
0;0.01
1;0.00907907510830419
2;0.00989369660907841
3;0.012443864502322665
4;0.01672957878803695
5;0.02275083946622127
6;0.03050764653687562
7;0.04
8;0.051227899855594415
9;0.06419134610365887
10;0.08035054021608644
11;0.10846669102423578
12;0.15000000000000002
13;0.2049504671433791
14;0.27052888401737507
15;0.33
16;0.3805746066542559
17;0.42225270398014275
18;0.4550342919776606
19;0.47891937064680934
20;0.49390793998758925
21;0.5
