ika;ruoka
34;13.9
35;12.986050576184379
36;12.141867690994452
37;11.36745134443022
38;10.662801536491676
39;10.027918267178832
40;9.462801536491677
41;8.967451344430218
42;8.54186769099445
43;8.186050576184378
44;7.9
45;7.683715962441314
46;7.537198463508323
47;7.460447503201024
48;7.45346308151942
49;7.5162451984635075
50;7.633727699530517
51;7.790844430217669
52;7.987595390524969
53;8.22398058045241
54;8.5
55;8.815653649167736
56;9.170941527955613
57;9.565863636363634
58;10.000419974391804
59;10.474610542040118
60;10.954832266325223
61;11.407482074263765
62;11.832559965855742
63;12.230065941101152
64;12.6
65;12.942362142552284
66;13.257152368758007
67;13.544370678617156
68;13.80401707212975
69;14.036091549295774
70;14.229278702518142
71;14.372263124199748
72;14.46504481434059
73;14.507623772940676
74;14.500000000000002
75;14.442173495518567
76;14.334144259496373
77;14.175912291933418
78;13.967477592829708
79;13.708840162185234
80;13.4
