"Vuosi";"Miehet 0";"Miehet 1";"Miehet 2";"Miehet 3";"Miehet 4";"Miehet 5";"Miehet 6";"Miehet 7";"Miehet 8";"Miehet 9";"Miehet 10";"Miehet 11";"Miehet 12";"Miehet 13";"Miehet 14";"Miehet 15";"Miehet 16";"Miehet 17";"Miehet 18";"Miehet 19";"Miehet 20";"Miehet 21";"Miehet 22";"Miehet 23";"Miehet 24";"Miehet 25";"Miehet 26";"Miehet 27";"Miehet 28";"Miehet 29";"Miehet 30";"Miehet 31";"Miehet 32";"Miehet 33";"Miehet 34";"Miehet 35";"Miehet 36";"Miehet 37";"Miehet 38";"Miehet 39";"Miehet 40";"Miehet 41";"Miehet 42";"Miehet 43";"Miehet 44";"Miehet 45";"Miehet 46";"Miehet 47";"Miehet 48";"Miehet 49";"Miehet 50";"Miehet 51";"Miehet 52";"Miehet 53";"Miehet 54";"Miehet 55";"Miehet 56";"Miehet 57";"Miehet 58";"Miehet 59";"Miehet 60";"Miehet 61";"Miehet 62";"Miehet 63";"Miehet 64";"Miehet 65";"Miehet 66";"Miehet 67";"Miehet 68";"Miehet 69";"Miehet 70";"Miehet 71";"Miehet 72";"Miehet 73";"Miehet 74";"Miehet 75";"Miehet 76";"Miehet 77";"Miehet 78";"Miehet 79";"Miehet 80";"Miehet 81";"Miehet 82";"Miehet 83";"Miehet 84";"Miehet 85";"Miehet 86";"Miehet 87";"Miehet 88";"Miehet 89";"Miehet 90";"Miehet 91";"Miehet 92";"Miehet 93";"Miehet 94";"Miehet 95";"Miehet 96";"Miehet 97";"Miehet 98";"Miehet 99";"Miehet 100 -";"Naiset 0";"Naiset 1";"Naiset 2";"Naiset 3";"Naiset 4";"Naiset 5";"Naiset 6";"Naiset 7";"Naiset 8";"Naiset 9";"Naiset 10";"Naiset 11";"Naiset 12";"Naiset 13";"Naiset 14";"Naiset 15";"Naiset 16";"Naiset 17";"Naiset 18";"Naiset 19";"Naiset 20";"Naiset 21";"Naiset 22";"Naiset 23";"Naiset 24";"Naiset 25";"Naiset 26";"Naiset 27";"Naiset 28";"Naiset 29";"Naiset 30";"Naiset 31";"Naiset 32";"Naiset 33";"Naiset 34";"Naiset 35";"Naiset 36";"Naiset 37";"Naiset 38";"Naiset 39";"Naiset 40";"Naiset 41";"Naiset 42";"Naiset 43";"Naiset 44";"Naiset 45";"Naiset 46";"Naiset 47";"Naiset 48";"Naiset 49";"Naiset 50";"Naiset 51";"Naiset 52";"Naiset 53";"Naiset 54";"Naiset 55";"Naiset 56";"Naiset 57";"Naiset 58";"Naiset 59";"Naiset 60";"Naiset 61";"Naiset 62";"Naiset 63";"Naiset 64";"Naiset 65";"Naiset 66";"Naiset 67";"Naiset 68";"Naiset 69";"Naiset 70";"Naiset 71";"Naiset 72";"Naiset 73";"Naiset 74";"Naiset 75";"Naiset 76";"Naiset 77";"Naiset 78";"Naiset 79";"Naiset 80";"Naiset 81";"Naiset 82";"Naiset 83";"Naiset 84";"Naiset 85";"Naiset 86";"Naiset 87";"Naiset 88";"Naiset 89";"Naiset 90";"Naiset 91";"Naiset 92";"Naiset 93";"Naiset 94";"Naiset 95";"Naiset 96";"Naiset 97";"Naiset 98";"Naiset 99";"Naiset 100 -"
"2024";29184;29456;29704;29906;30060;30166;30287;30330;30375;30354;30747;31316;31865;32070;32850;32470;32156;31977;32041;31302;31745;30956;30857;31156;32048;32410;32424;33611;34850;36066;37070;37097;38453;37888;38295;37345;37459;35858;36263;37123;38043;38702;38451;36572;36298;35702;35957;35936;36038;35340;33345;30647;31455;31849;32671;33289;35172;35891;35839;35697;36176;36221;35599;34896;34282;33879;32393;33500;33927;33125;32253;31721;32411;30735;31193;31394;30990;29861;27997;24146;18231;16537;12377;16768;10849;11263;9998;8162;6692;5731;4459;3413;2733;2208;1602;1107;787;481;295;187;155;27922;28196;28438;28586;28730;28860;28935;29009;29036;29048;29368;29721;30622;30874;31255;31188;30831;30383;30683;30141;29940;29791;29190;29795;30162;30989;30882;32257;32924;34230;35368;35328;36218;35906;36051;35315;35435;33799;34046;34998;35887;36528;35867;34726;34249;34246;34001;34469;34452;33596;32461;29380;30300;31599;32503;32899;35299;36033;36249;36306;36799;37065;36470;36367;36168;35782;34579;35878;36633;36208;36518;35506;36332;34798;35818;36484;36821;36207;34773;30255;24007;22181;17340;24172;16613;18390;16432;14380;12381;11029;9291;7518;6663;5466;4518;3429;2480;1669;1127;741;983
"2025";29078;29369;29631;29845;30044;30181;30305;30376;30440;30453;30446;30838;31401;31946;32160;32935;32553;32287;32116;32208;31470;31903;31198;31200;31532;32396;32817;32771;33924;35156;36319;37296;37320;38617;38049;38426;37483;37540;35979;36372;37162;38113;38723;38477;36614;36338;35690;35937;35920;35984;35292;33294;30595;31392;31732;32547;33152;34995;35690;35622;35444;35930;35940;35284;34573;33941;33499;32023;33059;33451;32620;31756;31201;31772;30056;30458;30575;30095;28798;26966;23124;17333;15598;11621;15571;9950;10260;8930;7147;5812;4851;3673;2717;2167;1680;1203;812;545;305;192;176;27823;28108;28355;28550;28710;28853;28966;29048;29110;29127;29153;29455;29808;30694;30956;31335;31252;30914;30525;30771;30240;30119;30030;29531;30143;30518;31271;31163;32537;33135;34432;35560;35465;36358;36046;36141;35428;35544;33888;34146;35081;35968;36595;35944;34779;34277;34314;34062;34493;34472;33637;32468;29404;30288;31609;32475;32873;35209;35976;36156;36195;36679;36910;36316;36220;35993;35590;34383;35646;36391;35939;36223;35186;36003;34435;35394;35980;36254;35547;34061;29523;23351;21481;16690;23106;15750;17269;15222;13133;11148;9753;8033;6346;5511;4378;3542;2597;1809;1165;752;1039
"2026";28946;29266;29537;29783;29987;30157;30319;30407;30491;30511;30537;30555;30918;31491;32032;32226;33012;32689;32425;32284;32386;31634;32146;31539;31550;31910;32790;33164;33100;34220;35422;36557;37501;37508;38757;38203;38559;37584;37632;36072;36431;37222;38140;38763;38516;36623;36334;35675;35912;35888;35939;35247;33229;30529;31290;31614;32401;33008;34783;35490;35384;35203;35665;35630;34966;34237;33564;33119;31617;32606;32968;32128;31237;30602;31116;29353;29683;29686;29079;27760;25836;22010;16385;14664;10795;14296;9080;9178;7862;6212;4921;3983;2943;2152;1663;1258;873;573;344;208;195;27713;27994;28269;28478;28660;28828;28969;29089;29154;29196;29233;29231;29536;29903;30756;31032;31417;31333;31073;30613;30853;30395;30362;30377;29884;30484;30805;31552;31453;32739;33344;34616;35724;35598;36504;36138;36253;35535;35632;33989;34227;35155;36059;36658;35986;34828;34341;34357;34076;34534;34518;33641;32472;29422;30286;31579;32442;32813;35139;35885;36052;36083;36527;36772;36162;36048;35819;35383;34185;35400;36121;35665;35902;34866;35639;34042;34925;35437;35615;34849;33254;28733;22614;20691;15981;21928;14797;16041;13917;11855;9852;8457;6815;5236;4422;3451;2684;1896;1256;792;1061
"2027";28823;29151;29420;29699;29906;30111;30281;30421;30508;30572;30618;30648;30634;31008;31571;32090;32324;33135;32829;32612;32447;32547;31866;32473;31907;31934;32298;33147;33477;33396;34496;35661;36781;37683;37666;38919;38320;38633;37677;37742;36136;36472;37286;38179;38794;38536;36621;36312;35669;35866;35827;35883;35175;33148;30449;31159;31497;32256;32835;34597;35261;35147;34938;35377;35316;34634;33877;33183;32722;31190;32150;32474;31611;30669;29984;30402;28639;28831;28720;28055;26616;24627;20823;15422;13627;9931;13063;8141;8089;6827;5287;4048;3199;2331;1656;1255;915;609;362;228;210;27596;27885;28157;28384;28603;28781;28944;29085;29174;29248;29305;29324;29324;29611;29969;30844;31096;31497;31495;31138;30706;31015;30654;30704;30708;30237;30770;31095;31836;31665;32959;33550;34780;35834;35759;36585;36242;36353;35618;35720;34080;34316;35249;36115;36713;36037;34864;34384;34396;34132;34561;34523;33658;32476;29396;30284;31553;32376;32754;35067;35775;35948;35934;36398;36602;36004;35857;35620;35180;33963;35151;35856;35344;35607;34529;35235;33592;34405;34838;34933;34031;32403;27863;21802;19823;15176;20648;13761;14697;12570;10486;8566;7192;5615;4234;3478;2617;1983;1292;860;1103
"2028";28708;29022;29315;29575;29816;30039;30244;30398;30511;30604;30667;30699;30731;30730;31075;31640;32211;32422;33302;32995;32777;32606;32775;32209;32835;32277;32324;32655;33462;33781;33672;34757;35891;36961;37844;37809;39043;38404;38746;37766;37795;36197;36530;37313;38215;38811;38530;36607;36291;35625;35834;35769;35816;35089;33049;30339;31059;31339;32096;32658;34380;35025;34904;34666;35064;35002;34269;33502;32797;32296;30769;31681;31982;31059;30043;29311;29685;27846;27907;27729;26919;25414;23322;19598;14347;12569;9089;11737;7196;7045;5796;4370;3248;2551;1783;1253;905;646;387;242;243;27482;27761;28060;28277;28509;28711;28892;29078;29180;29267;29340;29396;29399;29414;29687;30056;30921;31174;31653;31562;31234;30855;31261;30983;31048;31048;30528;31058;31377;32045;31906;33146;33708;34921;36000;35840;36679;36359;36441;35713;35800;34159;34408;35316;36164;36761;36070;34922;34428;34431;34147;34570;34533;33641;32472;29397;30243;31500;32327;32683;34971;35662;35813;35802;36241;36464;35808;35675;35409;34958;33723;34901;35550;35048;35265;34147;34786;33134;33830;34178;34144;33181;31438;26872;20906;18852;14307;19234;12629;13277;11153;9145;7268;5959;4543;3336;2654;1902;1376;884;1179
"2029";28608;28909;29182;29464;29715;29947;30158;30357;30490;30602;30685;30766;30803;30812;30798;31161;31730;32327;32588;33459;33162;32926;32841;33110;32579;33199;32675;32676;32971;33766;34060;33945;34980;36090;37119;37989;37939;39123;38518;38832;37812;37843;36257;36579;37348;38228;38815;38506;36601;36239;35595;35787;35697;35725;34990;32929;30224;30921;31189;31918;32476;34163;34776;34644;34381;34741;34635;33923;33112;32391;31851;30369;31191;31418;30446;29419;28622;28889;26961;26977;26619;25723;24079;21985;18277;13258;11495;8190;10373;6263;6014;4804;3512;2594;1945;1363;909;638;419;261;238;27381;27653;27945;28164;28404;28630;28830;29020;29156;29276;29370;29430;29471;29489;29482;29778;30129;30987;31352;31706;31643;31384;31140;31571;31317;31385;31348;30796;31356;31607;32263;32098;33316;33870;35051;36089;35951;36788;36436;36538;35790;35888;34242;34483;35367;36202;36802;36124;34971;34458;34448;34167;34575;34527;33628;32452;29387;30192;31446;32259;32607;34857;35541;35667;35667;36085;36272;35630;35458;35203;34727;33485;34613;35252;34733;34885;33736;34318;32577;33214;33430;33309;32203;30363;25790;19917;17784;13349;17659;11429;11807;9726;7796;6022;4814;3590;2536;1952;1344;922;1225
"2030";28531;28799;29079;29333;29598;29832;30079;30280;30453;30572;30699;30784;30836;30886;30892;30883;31265;31848;32485;32758;33606;33329;33167;33168;33467;32939;33580;33031;33004;33292;34035;34319;34170;35181;36254;37270;38132;38043;39219;38597;38875;37893;37880;36309;36615;37388;38230;38778;38473;36556;36225;35542;35706;35618;35626;34860;32812;30090;30766;31045;31739;32265;33940;34531;34354;34082;34397;34288;33533;32712;31966;31434;29899;30685;30819;29824;28726;27896;27993;26075;25931;25467;24400;22714;20536;16882;12156;10380;7247;9065;5345;4971;3874;2809;1993;1480;998;640;416;271;263;27290;27568;27834;28057;28278;28514;28757;28939;29124;29259;29374;29456;29505;29569;29568;29556;29852;30212;31154;31409;31792;31800;31640;31438;31922;31658;31670;31617;31086;31575;31829;32472;32269;33481;34006;35166;36186;36066;36866;36524;36616;35861;35976;34318;34536;35428;36240;36851;36158;34995;34485;34478;34169;34576;34498;33615;32429;29330;30159;31379;32172;32520;34735;35402;35531;35529;35910;36086;35428;35257;34963;34476;33227;34333;34955;34362;34468;33281;33764;32022;32519;32615;32353;31123;29169;24578;18815;16627;12261;16024;10173;10309;8300;6453;4909;3812;2731;1871;1354;906;1296
"2031";28468;28728;28958;29232;29474;29730;29961;30189;30381;30510;30676;30798;30864;30927;30980;30966;30976;31377;32007;32651;32923;33767;33564;33498;33526;33833;33331;33929;33341;33305;33585;34288;34551;34372;35355;36413;37408;38231;38143;39313;38648;38940;37929;37927;36354;36648;37395;38203;38754;38441;36508;36179;35471;35628;35526;35491;34714;32667;29958;30620;30868;31552;32077;33682;34261;34067;33746;34069;33912;33131;32289;31557;30988;29420;30101;30205;29153;28004;27049;27098;25106;24811;24177;23045;21239;19017;15499;10972;9205;6342;7759;4433;4006;3102;2160;1513;1104;696;411;254;292;27238;27484;27738;27945;28163;28421;28629;28871;29052;29193;29362;29455;29552;29591;29628;29656;29631;29935;30374;31222;31493;31956;32048;31945;31781;32249;31938;31950;31906;31330;31786;32025;32644;32431;33624;34114;35272;36304;36139;36974;36595;36684;35960;36040;34380;34590;35450;36316;36887;36183;35018;34510;34479;34165;34566;34482;33584;32368;29290;30107;31294;32082;32404;34612;35273;35388;35348;35740;35894;35207;35046;34724;34220;32968;34037;34590;33974;34005;32777;33185;31350;31746;31726;31283;29932;27813;23258;17595;15305;11147;14282;8905;8812;6909;5245;3872;2927;2011;1286;940;1316
"2032";28434;28654;28883;29122;29371;29605;29850;30067;30287;30461;30635;30764;30884;30949;31013;31036;31066;31113;31521;32186;32811;33079;34015;33881;33848;33906;34208;33669;34256;33639;33611;33823;34532;34754;34546;35521;36558;37516;38323;38237;39360;38707;38969;37980;37977;36379;36659;37382;38188;38722;38387;36459;36097;35410;35536;35403;35346;34580;32504;29818;30472;30685;31366;31841;33430;33974;33747;33433;33703;33511;32727;31876;31114;30497;28880;29523;29557;28438;27181;26194;26090;24051;23613;22856;21566;19685;17468;14036;9746;8065;5428;6456;3580;3223;2371;1658;1115;762;469;263;305;27201;27433;27646;27841;28059;28300;28537;28751;28963;29139;29302;29455;29539;29627;29671;29716;29725;29729;30082;30443;31311;31663;32192;32365;32288;32104;32521;32226;32219;32124;31552;31989;32195;32814;32589;33732;34224;35390;36387;36230;37047;36675;36783;36021;36097;34426;34638;35514;36341;36904;36228;35031;34518;34460;34157;34552;34439;33527;32314;29245;30019;31233;31981;32289;34475;35136;35232;35175;35550;35690;34992;34813;34463;33962;32690;33701;34195;33554;33509;32223;32509;30632;30881;30699;30129;28562;26347;21769;16234;13921;9958;12511;7626;7349;5613;4165;2975;2140;1416;890;1347
"2033";28412;28617;28829;29043;29261;29489;29732;29955;30177;30375;30556;30731;30839;30979;31026;31097;31137;31175;31260;31713;32351;32968;33306;34346;34244;34206;34279;34562;33986;34552;33933;33850;34075;34730;34935;34723;35677;36648;37624;38412;38304;39408;38751;39016;38036;37984;36396;36646;37367;38166;38650;38341;36401;36038;35286;35424;35271;35209;34410;32363;29667;30291;30510;31156;31597;33176;33651;33442;33080;33326;33111;32334;31443;30637;29975;28326;28902;28834;27614;26363;25255;25005;22903;22329;21432;20004;18116;15827;12492;8555;6924;4520;5211;2881;2481;1827;1224;775;500;304;305;27186;27384;27595;27766;27975;28180;28409;28651;28842;29066;29251;29392;29515;29638;29704;29753;29788;29805;29890;30158;30538;31472;31905;32513;32684;32622;32383;32807;32483;32441;32341;31768;32163;32360;32959;32697;33863;34342;35481;36458;36315;37131;36777;36834;36078;36138;34476;34699;35548;36368;36939;36230;35043;34505;34470;34148;34495;34394;33466;32246;29177;29960;31120;31879;32171;34353;34980;35049;35008;35345;35465;34780;34554;34224;33662;32387;33336;33784;33059;32954;31576;31809;29814;29919;29569;28781;27085;24706;20103;14780;12438;8751;10722;6355;6000;4455;3196;2204;1511;948;1342
"2034";28411;28594;28801;28991;29169;29390;29622;29833;30057;30260;30482;30642;30794;30949;31044;31117;31186;31251;31347;31438;31873;32519;33202;33649;34684;34612;34581;34632;34858;34308;34820;34193;34084;34270;34927;35091;34874;35796;36762;37715;38480;38356;39461;38788;39073;38042;38009;36378;36642;37323;38117;38618;38269;36330;35929;35186;35290;35115;35048;34249;32211;29500;30123;30314;30922;31370;32867;33370;33099;32714;32925;32738;31904;30976;30099;29419;27759;28207;28055;26775;25425;24232;23844;21691;20950;19897;18451;16430;14100;10982;7350;5768;3668;4196;2235;1888;1374;840;519;324;331;27186;27367;27556;27707;27891;28092;28301;28540;28747;28940;29152;29334;29472;29626;29708;29770;29831;29892;29955;29950;30270;30683;31729;32224;32847;33011;32884;32671;33061;32711;32666;32534;31924;32333;32514;33069;32843;33953;34449;35567;36557;36402;37205;36827;36907;36107;36192;34541;34735;35581;36388;36967;36223;35041;34504;34446;34102;34437;34340;33403;32182;29111;29858;31024;31760;32058;34207;34814;34878;34814;35130;35248;34535;34299;33951;33356;32042;32954;33282;32542;32330;30902;30970;28887;28845;28300;27299;25429;22823;18345;13242;10950;7506;8960;5202;4761;3435;2365;1537;1030;1379
"2035";28425;28603;28781;28940;29114;29310;29521;29724;29944;30145;30353;30571;30731;30898;31015;31128;31206;31306;31408;31521;31614;32030;32756;33535;33999;35060;34971;34946;34920;35171;34578;35077;34416;34300;34463;35070;35269;34992;35904;36860;37781;38543;38407;39493;38841;39085;38048;37998;36369;36608;37321;38060;38548;38186;36228;35818;35062;35136;34969;34887;34071;32029;29345;29945;30096;30701;31098;32600;33024;32749;32343;32560;32310;31426;30471;29574;28814;27127;27448;27209;25879;24421;23118;22588;20371;19479;18376;16746;14682;12415;9428;6150;4685;2962;3241;1721;1408;956;568;340;334;27211;27363;27535;27667;27832;28014;28211;28419;28629;28847;29044;29246;29415;29563;29694;29780;29868;29908;30022;30050;30056;30435;30941;32041;32561;33150;33302;33156;32927;33280;32929;32858;32695;32091;32498;32625;33204;32942;34079;34534;35654;36634;36481;37275;36891;36942;36152;36238;34587;34777;35612;36404;36952;36225;35033;34489;34415;34041;34405;34256;33325;32096;29027;29769;30922;31638;31930;34045;34642;34691;34632;34905;35016;34302;34034;33627;33027;31672;32495;32770;31922;31652;30122;30044;27878;27618;26868;25658;23521;20862;16450;11657;9405;6289;7347;4143;3658;2558;1654;1051;1447
"2036";28466;28615;28771;28926;29089;29239;29441;29630;29825;30025;30251;30443;30647;30823;30978;31107;31216;31326;31451;31591;31712;31762;32280;33089;33895;34358;35436;35322;35226;35235;35440;34832;35297;34635;34488;34625;35240;35372;35111;36001;36940;37852;38574;38464;39539;38866;39085;38059;37963;36356;36586;37258;37997;38478;38081;36120;35686;34925;34990;34810;34709;33908;31850;29160;29749;29878;30427;30853;32281;32693;32393;31971;32167;31843;30928;29939;28998;28165;26403;26655;26316;24870;23310;21935;21261;18967;18011;16707;14970;12929;10698;7890;4998;3790;2296;2498;1275;987;630;368;375;27237;27387;27533;27657;27791;27955;28134;28328;28523;28723;28928;29143;29336;29496;29637;29769;29862;29949;30076;30100;30138;30223;30691;31269;32357;32886;33442;33552;33423;33143;33487;33135;33014;32879;32248;32609;32762;33310;33058;34148;34642;35737;36708;36561;37307;36939;36982;36226;36288;34609;34805;35628;36418;36942;36216;35018;34445;34359;34008;34312;34177;33256;31993;28927;29680;30800;31539;31782;33878;34468;34500;34410;34681;34788;34027;33741;33305;32655;31237;31994;32190;31267;30869;29239;29012;26725;26253;25274;23767;21527;18736;14497;10047;7904;5155;5850;3186;2744;1782;1124;1511
"2037";28502;28656;28785;28923;29066;29219;29360;29549;29736;29909;30130;30344;30533;30738;30905;31046;31187;31341;31499;31635;31767;31851;32013;32610;33449;34272;34741;35760;35619;35546;35493;35698;35064;35504;34815;34641;34800;35348;35492;35227;36082;37003;37901;38629;38498;39559;38876;39081;38030;37959;36330;36545;37196;37913;38381;37959;35990;35553;34780;34833;34642;34547;33706;31664;28983;29526;29646;30202;30545;31963;32341;32036;31597;31702;31353;30404;29377;28357;27451;25662;25795;25294;23773;22135;20656;19824;17552;16399;14945;13241;11142;8968;6442;4026;2956;1766;1860;892;658;411;406;27273;27415;27558;27651;27779;27917;28069;28257;28427;28615;28824;29024;29232;29414;29565;29723;29833;29953;30104;30147;30210;30297;30481;31015;31613;32698;33145;33705;33801;33652;33348;33698;33274;33197;33011;32370;32743;32874;33413;33157;34250;34715;35835;36771;36611;37377;36972;37034;36252;36315;34656;34818;35648;36410;36930;36196;34969;34393;34320;33935;34248;34106;33136;31886;28852;29575;30689;31387;31634;33724;34283;34306;34170;34465;34511;33752;33423;32923;32234;30778;31420;31555;30525;29971;28264;27824;25434;24717;23467;21776;19345;16550;12506;8438;6483;4116;4520;2393;1910;1227;1602
"2038";28540;28690;28823;28950;29065;29182;29337;29492;29641;29817;30026;30221;30413;30628;30814;30982;31153;31314;31492;31663;31815;31929;32103;32345;32983;33819;34635;35079;36059;35932;35807;35746;35917;35289;35670;34986;34807;34896;35480;35598;35301;36156;37065;37957;38675;38528;39582;38855;39063;38008;37921;36293;36500;37119;37823;38252;37825;35862;35406;34631;34682;34470;34355;33504;31450;28799;29287;29427;29929;30251;31628;32007;31655;31180;31227;30822;29848;28738;27646;26705;24848;24835;24199;22586;20870;19287;18364;16014;14687;13221;11426;9363;7312;5225;3155;2263;1321;1303;601;424;445;27308;27457;27580;27678;27776;27896;28040;28208;28325;28535;28710;28919;29115;29302;29489;29657;29804;29917;30106;30191;30243;30364;30559;30804;31361;31932;32988;33404;33951;34039;33840;33555;33847;33445;33333;33142;32496;32847;32989;33515;33250;34342;34796;35902;36845;36657;37395;37044;37062;36303;36345;34672;34827;35646;36393;36910;36158;34931;34337;34253;33867;34146;34003;33036;31798;28753;29469;30556;31238;31485;33552;34078;34089;33965;34218;34221;33446;33061;32517;31767;30256;30800;30809;29654;29008;27125;26516;23975;22967;21516;19596;17130;14276;10544;6943;5193;3173;3377;1673;1315;1719
"2039";28570;28729;28872;28975;29081;29190;29333;29441;29590;29722;29924;30104;30302;30511;30711;30892;31086;31274;31466;31673;31839;31975;32171;32431;32723;33360;34184;34980;35413;36334;36196;36062;35972;36129;35443;35845;35145;34922;35039;35566;35683;35386;36229;37111;37991;38713;38530;39572;38873;39014;37973;37882;36259;36419;37037;37707;38117;37684;35720;35269;34467;34498;34292;34155;33299;31257;28568;29079;29165;29641;29953;31302;31630;31262;30723;30711;30276;29221;28038;26916;25861;23926;23790;23028;21335;19493;17885;16768;14375;13006;11449;9604;7656;5934;4063;2428;1707;927;876;386;485;27349;27488;27619;27706;27799;27897;28015;28165;28277;28452;28626;28807;28998;29199;29384;29568;29733;29875;30089;30170;30285;30417;30621;30893;31152;31684;32209;33245;33689;34157;34244;34033;33715;33998;33591;33455;33254;32631;32958;33071;33607;33347;34432;34896;35946;36886;36708;37458;37071;37092;36331;36367;34688;34824;35639;36380;36877;36087;34888;34265;34178;33764;34071;33887;32933;31697;28641;29344;30448;31092;31315;33362;33883;33894;33716;33945;33922;33077;32657;32063;31226;29675;30120;29966;28696;27856;25890;25014;22294;21096;19391;17380;14805;12056;8673;5557;4033;2372;2382;1144;1843
"2040";28593;28771;28901;29018;29119;29208;29321;29425;29553;29672;29839;30002;30196;30401;30583;30789;30979;31206;31440;31655;31837;32000;32222;32500;32803;33089;33745;34543;35285;35695;36613;36443;36287;36167;36292;35621;36006;35249;35057;35140;35669;35751;35451;36273;37177;38032;38720;38532;39561;38821;39009;37935;37814;36185;36355;36925;37588;37981;37528;35582;35094;34317;34321;34093;33950;33077;31015;28357;28836;28880;29366;29671;30946;31240;30803;30248;30172;29667;28526;27306;26080;24951;22939;22640;21771;19958;18098;16360;15071;12736;11284;9629;7870;6206;4658;3139;1816;1204;627;576;458;27372;27512;27665;27737;27831;27923;28011;28146;28243;28394;28548;28721;28879;29085;29281;29454;29654;29812;30046;30155;30273;30443;30678;30936;31238;31482;31972;32492;33507;33901;34370;34421;34191;33873;34154;33693;33579;33375;32730;33062;33172;33701;33437;34527;34926;36004;36940;36750;37498;37101;37142;36346;36366;34688;34824;35616;36339;36821;36044;34806;34208;34088;33683;33950;33787;32822;31583;28530;29229;30286;30961;31157;33160;33673;33653;33462;33646;33581;32690;32200;31546;30651;29017;29297;29026;27619;26583;24442;23297;20502;19035;17210;15058;12507;9939;6964;4319;3008;1669;1647;1809
"2041";28613;28789;28931;29056;29153;29251;29338;29422;29539;29630;29779;29923;30110;30271;30480;30666;30896;31100;31355;31604;31823;32006;32254;32564;32858;33176;33483;34092;34853;35587;35968;36863;36651;36483;36350;36466;35763;36118;35382;35160;35222;35754;35817;35514;36328;37205;38051;38718;38528;39521;38801;38950;37897;37759;36108;36233;36812;37459;37822;37385;35421;34942;34134;34146;33882;33739;32828;30799;28119;28581;28630;29077;29342;30574;30799;30331;29726;29595;28967;27790;26500;25164;23924;21875;21431;20381;18547;16577;14722;13383;11062;9512;7899;6403;4865;3596;2351;1296;806;413;569;27384;27541;27690;27777;27866;27957;28033;28139;28231;28358;28486;28640;28788;28984;29158;29352;29543;29722;29979;30115;30253;30459;30696;30987;31302;31563;31759;32257;32763;33717;34099;34562;34576;34353;34013;34254;33822;33697;33501;32813;33157;33254;33826;33500;34568;34998;36047;36994;36803;37529;37134;37158;36355;36357;34685;34826;35577;36284;36758;35978;34746;34114;33989;33589;33840;33690;32705;31451;28423;29092;30149;30788;30974;32964;33463;33395;33183;33308;33197;32248;31711;30969;29976;28260;28423;27916;26375;25152;22788;21435;18535;16926;14932;12734;10340;7980;5402;3253;2117;1157;2108
"2042";28611;28802;28965;29080;29191;29284;29378;29444;29537;29620;29735;29865;30019;30180;30368;30554;30761;31006;31282;31522;31795;31974;32257;32579;32932;33238;33567;33821;34401;35163;35850;36224;37089;36859;36646;36517;36613;35877;36238;35491;35250;35307;35808;35873;35582;36367;37241;38049;38716;38504;39486;38764;38902;37835;37665;35999;36140;36678;37311;37683;37219;35267;34765;33967;33937;33670;33479;32613;30552;27884;28309;28346;28789;28982;30171;30350;29828;29161;28903;28252;26991;25580;24159;22840;20718;20078;18963;17016;14955;13083;11641;9327;7806;6447;5019;3784;2705;1671;876;525;537;27377;27555;27711;27819;27905;27976;28074;28154;28233;28341;28446;28582;28718;28889;29049;29245;29428;29621;29893;30047;30212;30429;30702;31024;31337;31620;31854;32051;32515;32979;33936;34293;34712;34725;34493;34136;34374;33946;33781;33599;32917;33234;33382;33878;33564;34634;35046;36112;37031;36830;37562;37147;37158;36367;36356;34670;34787;35528;36236;36690;35898;34640;34038;33898;33481;33739;33565;32589;31318;28298;28962;30005;30615;30802;32755;33222;33122;32857;32928;32770;31744;31149;30306;29230;27412;27356;26709;24973;23467;20994;19418;16494;14696;12646;10540;8324;6219;4063;2296;1463;1974
"2043";28590;28801;28970;29119;29228;29319;29414;29477;29545;29636;29708;29832;29958;30102;30270;30433;30648;30904;31149;31451;31720;31946;32242;32577;32948;33288;33641;33908;34145;34710;35425;36117;36444;37275;37025;36818;36670;36709;36012;36339;35577;35324;35388;35863;35943;35622;36403;37235;38055;38684;38483;39445;38722;38827;37736;37580;35909;35998;36549;37175;37517;37066;35076;34602;33760;33731;33443;33267;32338;30276;27648;28051;28081;28446;28609;29721;29857;29280;28500;28223;27434;26082;24581;23087;21646;19436;18707;17427;15357;13306;11388;9840;7675;6378;5071;3899;2845;1923;1124;584;573;27364;27555;27729;27841;27923;28019;28113;28185;28254;28330;28436;28547;28647;28814;28972;29131;29312;29522;29783;29957;30160;30389;30667;31035;31352;31673;31919;32121;32325;32736;33201;34110;34446;34875;34870;34600;34252;34487;34043;33896;33674;33024;33335;33462;33928;33629;34689;35102;36168;37056;36858;37586;37162;37157;36351;36335;34656;34734;35479;36172;36608;35809;34559;33952;33780;33376;33635;33436;32442;31197;28171;28823;29839;30452;30618;32523;32937;32811;32507;32529;32255;31220;30486;29566;28368;26425;26183;25303;23340;21642;19045;17304;14341;12472;10494;8496;6487;4679;2884;1577;2089
