ika;piste
45;2.0
46;2.009523809523809
47;2.028571428571428
48;2.057142857142857
49;2.095238095238095
50;2.1428571428571423
51;2.2
52;2.2666666666666666
53;2.3428571428571425
54;2.4285714285714284
55;2.5238095238095233
56;2.628571428571428
57;2.742857142857143
58;2.8666666666666663
59;3.0
60;3.1428571428571423
61;3.295238095238095
62;3.4571428571428573
63;3.628571428571428
64;3.8095238095238093
65;4.0
