ika;riski
34;11.0
35;11.59357042253521
36;12.326347417840376
37;13.198330985915492
38;14.209521126760563
39;15.359917840375585
40;16.649521126760565
41;18.078330985915493
42;19.646347417840374
43;21.353570422535213
44;23.2
45;25.185636150234743
46;27.31047887323944
47;29.574528169014084
48;31.977784037558685
49;34.52024647887324
50;37.11308920187793
51;39.66748591549295
52;42.183436619718314
53;44.66094131455399
54;47.1
55;49.50061267605635
56;51.862779342723016
57;54.186499999999995
58;56.47177464788732
59;58.718603286384976
60;60.91594366197183
61;63.05275352112676
62;65.12903286384977
63;67.14478169014086
64;69.1
65;70.99468779342725
66;72.82884507042256
67;74.60247183098592
68;76.31556807511737
69;77.9681338028169
70;79.51924882629108
71;80.92799295774648
72;82.19436619718309
73;83.31836854460093
74;84.3
75;85.13926056338028
76;85.83615023474178
77;86.3906690140845
78;86.80281690140845
79;87.07259389671361
80;87.2
