ika;riski
34;61.9
35;63.17715414438503
36;64.4305754010695
37;65.6552340909091
38;66.84610053475936
39;67.99814505347595
40;69.10633796791444
41;70.16564959893049
42;71.1710502673797
43;72.11751029411766
44;73.00000000000001
45;73.81348970588236
46;74.55294973262033
47;75.21335040106953
48;75.78966203208559
49;76.2768549465241
50;76.66989946524065
51;76.96376590909091
52;77.1534245989305
53;77.23384585561499
54;77.2
55;77.05138703208559
56;76.80562566844921
57;76.48486430481285
58;76.11125133689839
59;75.7069351604278
60;75.29406417112298
61;74.89478676470588
62;74.53125133689839
63;74.22560628342247
64;74.0
65;73.86956216577538
66;73.82134759358287
67;73.83539237967913
68;73.89173262032085
69;73.97040441176469
70;74.05144385026736
71;74.11488703208555
72;74.14077005347595
73;74.10912901069517
74;74.0
75;73.79341911764705
76;73.46942245989305
77;73.00804612299464
78;72.38932620320855
79;71.59329879679143
80;70.6
