ika;riski
34;76.3
35;76.69331882202304
36;77.00590012804099
37;77.23774391805377
38;77.38885019206145
39;77.45921895006401
40;77.44885019206146
41;77.35774391805377
42;77.18590012804097
43;76.93331882202304
44;76.6
45;76.18594366197183
46;75.69114980793854
47;75.11561843790012
48;74.45934955185659
49;73.72234314980793
50;73.01154929577466
51;72.4339180537772
52;71.98944942381563
53;71.67814340588988
54;71.5
55;71.45501920614598
56;71.54320102432779
57;71.76454545454544
58;72.11905249679897
59;72.60672215108835
60;73.13385403329066
61;73.60674775928298
62;74.02540332906531
63;74.38982074263767
64;74.7
65;74.95594110115238
66;75.15764404609479
67;75.30510883482715
68;75.39833546734954
69;75.43732394366197
70;75.24532650448145
71;74.64559539052497
72;73.63813060179257
73;72.22293213828425
74;70.39999999999999
75;68.16933418693982
76;65.53093469910371
77;62.48480153649167
78;59.03093469910371
79;55.16933418693982
80;50.9
