ika;riski
34;77.2
35;77.24776696542894
36;77.26047460520701
37;77.23812291933417
38;77.18071190781049
39;77.08824157063593
40;76.96071190781049
41;76.79812291933416
42;76.60047460520698
43;76.36776696542893
44;76.09999999999998
45;75.79717370892017
46;75.45928809218948
47;75.08634314980793
48;74.67833888177549
49;74.23527528809217
50;73.82538967136149
51;73.51691933418692
52;73.3098642765685
53;73.20422449850618
54;73.19999999999999
55;73.29719078104995
56;73.49579684165599
57;73.79581818181816
58;74.19725480153647
59;74.70010670081092
60;75.19895006402047
61;75.58836107554417
62;75.868339735382
63;76.03888604353394
64;76.1
65;76.0516816047802
66;75.89393085787454
67;75.62674775928296
68;75.25013230900554
69;74.76408450704224
70;73.87690994451557
71;72.296914212548
72;70.02409731113956
73;67.05845924029022
74;63.39999999999999
75;59.048719590268874
76;54.00461801109687
77;48.26769526248398
78;41.83795134443021
79;34.71538625693555
80;26.9
